LOCATION,Country,TIME,Time,School_Life_Expectancy,sex
40042,Lower middle income countries,2020,2020,11.13515,Female
40042,Lower middle income countries,2021,2021,11.28035,Female
40042,Lower middle income countries,2022,2022,11.46012,Female
BTN,Bhutan,2018,2018,13.41145,Female
IDN,Indonesia,2017,2017,13.65792,Female
IDN,Indonesia,2018,2018,13.71538,Female
DZA,Algeria,2022,2022,14.74388,Female
TGO,Togo,2017,2017,11.49271,Female
40651,Australia and New Zealand,2017,2017,21.89015,Female
40651,Australia and New Zealand,2018,2018,20.72389,Female
40651,Australia and New Zealand,2019,2019,21.68706,Female
40651,Australia and New Zealand,2020,2020,21.39726,Female
40651,Australia and New Zealand,2021,2021,21.68283,Female
40651,Australia and New Zealand,2022,2022,21.67509,Female
GBR,United Kingdom of Great Britain and Northern Ireland,2017,2017,17.95723,Female
GBR,United Kingdom of Great Britain and Northern Ireland,2018,2018,17.70611,Female
GBR,United Kingdom of Great Britain and Northern Ireland,2019,2019,17.76353,Female
GBR,United Kingdom of Great Britain and Northern Ireland,2020,2020,17.77357,Female
GBR,United Kingdom of Great Britain and Northern Ireland,2021,2021,18.20904,Female
GBR,United Kingdom of Great Britain and Northern Ireland,2022,2022,18.31003,Female
ARE,United Arab Emirates,2017,2017,13.49002,Female
ARE,United Arab Emirates,2020,2020,16.3799,Female
MAR,Morocco,2017,2017,12.70623,Female
MAR,Morocco,2018,2018,12.97946,Female
MAR,Morocco,2019,2019,13.31498,Female
MAR,Morocco,2020,2020,13.64076,Female
MAR,Morocco,2021,2021,13.88286,Female
MAR,Morocco,2022,2022,14.49855,Female
AUT,Austria,2017,2017,15.59511,Female
AUT,Austria,2018,2018,15.68981,Female
AUT,Austria,2019,2019,15.72529,Female
AUT,Austria,2020,2020,15.74914,Female
AUT,Austria,2021,2021,15.92267,Female
BWA,Botswana,2021,2021,11.77284,Female
LVA,Latvia,2017,2017,17.20125,Female
LVA,Latvia,2018,2018,17.34582,Female
LVA,Latvia,2019,2019,17.1952,Female
LVA,Latvia,2020,2020,17.11668,Female
LVA,Latvia,2021,2021,17.25187,Female
LVA,Latvia,2022,2022,17.25741,Female
CUB,Cuba,2017,2017,14.51898,Female
CUB,Cuba,2018,2018,14.63139,Female
CUB,Cuba,2019,2019,14.85701,Female
CUB,Cuba,2020,2020,15.08477,Female
CUB,Cuba,2021,2021,15.26216,Female
MLT,Malta,2017,2017,15.15166,Female
MLT,Malta,2018,2018,15.33938,Female
MLT,Malta,2019,2019,15.17081,Female
MLT,Malta,2020,2020,15.01054,Female
MLT,Malta,2021,2021,15.20273,Female
MLT,Malta,2022,2022,15.28345,Female
EGY,Egypt,2017,2017,12.10347,Female
EGY,Egypt,2018,2018,12.38981,Female
EGY,Egypt,2020,2020,12.79423,Female
SMR,San Marino,2018,2018,11.57508,Female
SMR,San Marino,2019,2019,11.78252,Female
SMR,San Marino,2020,2020,11.85292,Female
SMR,San Marino,2021,2021,12.08227,Female
SMR,San Marino,2022,2022,11.98106,Female
40640,Northern America ,2017,2017,15.97477,Female
40640,Northern America ,2018,2018,15.92745,Female
40640,Northern America ,2019,2019,15.89406,Female
40640,Northern America ,2020,2020,15.89834,Female
40640,Northern America ,2021,2021,15.57009,Female
40640,Northern America ,2022,2022,15.64502,Female
BRA,Brazil,2017,2017,15.02129,Female
BRA,Brazil,2018,2018,15.09226,Female
BRA,Brazil,2019,2019,14.98781,Female
BRA,Brazil,2020,2020,14.97253,Female
BRA,Brazil,2021,2021,14.95002,Female
USA,United States of America,2017,2017,16.02009,Female
USA,United States of America,2018,2018,15.97396,Female
USA,United States of America,2019,2019,15.93802,Female
USA,United States of America,2020,2020,15.94387,Female
USA,United States of America,2021,2021,15.58569,Female
USA,United States of America,2022,2022,15.05385,Female
BEL,Belgium,2017,2017,20.7676,Female
BEL,Belgium,2018,2018,20.55916,Female
BEL,Belgium,2019,2019,20.61998,Female
BEL,Belgium,2020,2020,20.31362,Female
BEL,Belgium,2021,2021,19.93109,Female
POL,Poland,2017,2017,15.27369,Female
POL,Poland,2018,2018,15.15309,Female
POL,Poland,2019,2019,15.10784,Female
POL,Poland,2020,2020,15.1181,Female
POL,Poland,2021,2021,15.19221,Female
POL,Poland,2022,2022,15.37729,Female
40630,Latin America and the Caribbean,2017,2017,14.20789,Female
40630,Latin America and the Caribbean,2018,2018,14.23805,Female
40630,Latin America and the Caribbean,2019,2019,14.23362,Female
40630,Latin America and the Caribbean,2020,2020,14.21128,Female
40630,Latin America and the Caribbean,2021,2021,14.14923,Female
40630,Latin America and the Caribbean,2022,2022,14.14981,Female
LTU,Lithuania,2017,2017,17.32931,Female
LTU,Lithuania,2018,2018,17.27771,Female
LTU,Lithuania,2019,2019,16.98307,Female
LTU,Lithuania,2020,2020,16.93458,Female
LTU,Lithuania,2021,2021,17.05356,Female
DEU,Germany,2017,2017,16.99616,Female
DEU,Germany,2018,2018,17.03128,Female
DEU,Germany,2019,2019,17.17854,Female
DEU,Germany,2020,2020,17.22357,Female
DEU,Germany,2021,2021,17.36998,Female
BEN,Benin,2020,2020,11.12107,Female
BEN,Benin,2021,2021,11.11866,Female
PRI,Puerto Rico,2018,2018,16.73429,Female
MNE,Montenegro,2017,2017,14.93637,Female
MNE,Montenegro,2018,2018,15.01454,Female
MNE,Montenegro,2019,2019,14.83263,Female
MNE,Montenegro,2020,2020,14.91078,Female
MNE,Montenegro,2021,2021,14.90963,Female
MNE,Montenegro,2022,2022,14.63003,Female
40619,Eastern and South-Eastern Asia,2017,2017,13.88107,Female
40619,Eastern and South-Eastern Asia,2018,2018,14.01946,Female
40619,Eastern and South-Eastern Asia,2019,2019,14.22214,Female
40619,Eastern and South-Eastern Asia,2020,2020,14.4231,Female
40619,Eastern and South-Eastern Asia,2021,2021,14.65389,Female
40619,Eastern and South-Eastern Asia,2022,2022,14.83901,Female
MMR,Myanmar,2018,2018,11.05974,Female
MLI,Mali,2017,2017,6.46582,Female
40344,Small Island Developing States,2017,2017,11.98011,Female
40344,Small Island Developing States,2018,2018,12.03146,Female
40344,Small Island Developing States,2019,2019,12.11713,Female
40344,Small Island Developing States,2020,2020,12.06696,Female
ZAF,South Africa,2017,2017,13.80505,Female
ZAF,South Africa,2018,2018,13.6606,Female
ZAF,South Africa,2019,2019,13.78166,Female
ZAF,South Africa,2020,2020,13.52111,Female
ZAF,South Africa,2021,2021,13.57099,Female
NER,Niger,2017,2017,5.99354,Female
40603,Northern Africa,2017,2017,12.13167,Female
40603,Northern Africa,2018,2018,12.25848,Female
40603,Northern Africa,2019,2019,12.41679,Female
40603,Northern Africa,2020,2020,12.53047,Female
40603,Northern Africa,2021,2021,12.59505,Female
SVK,Slovakia,2017,2017,15.14685,Female
SVK,Slovakia,2018,2018,15.07123,Female
SVK,Slovakia,2019,2019,15.065,Female
SVK,Slovakia,2020,2020,15.10183,Female
SVK,Slovakia,2021,2021,15.27138,Female
SVK,Slovakia,2022,2022,15.52244,Female
MEX,Mexico,2017,2017,15.06762,Female
MEX,Mexico,2018,2018,15.19629,Female
MEX,Mexico,2019,2019,15.26714,Female
MEX,Mexico,2020,2020,15.1789,Female
MEX,Mexico,2021,2021,14.9595,Female
MEX,Mexico,2022,2022,15.02457,Female
40330,Landlocked Developing Countries,2017,2017,9.18628,Female
40330,Landlocked Developing Countries,2018,2018,9.24484,Female
40330,Landlocked Developing Countries,2019,2019,9.29572,Female
LIE,Liechtenstein,2017,2017,16.2804,Female
LIE,Liechtenstein,2018,2018,15.9973,Female
LIE,Liechtenstein,2019,2019,16.51158,Female
LIE,Liechtenstein,2020,2020,16.55512,Female
LIE,Liechtenstein,2021,2021,16.43379,Female
BLR,Belarus,2017,2017,15.23234,Female
BLR,Belarus,2018,2018,14.7965,Female
BLR,Belarus,2019,2019,14.42213,Female
BLR,Belarus,2020,2020,14.27358,Female
BLR,Belarus,2021,2021,14.23576,Female
BLR,Belarus,2022,2022,13.91798,Female
HUN,Hungary,2017,2017,14.91645,Female
HUN,Hungary,2018,2018,14.86758,Female
HUN,Hungary,2019,2019,14.72406,Female
HUN,Hungary,2020,2020,14.74482,Female
HUN,Hungary,2021,2021,14.73847,Female
40030,Middle income countries,2017,2017,12.11809,Female
40030,Middle income countries,2018,2018,12.13422,Female
40030,Middle income countries,2019,2019,12.17852,Female
40030,Middle income countries,2020,2020,12.3857,Female
40030,Middle income countries,2021,2021,12.50691,Female
40030,Middle income countries,2022,2022,12.68195,Female
LKA,Sri Lanka,2017,2017,13.84747,Female
LKA,Sri Lanka,2018,2018,14.02978,Female
40505,Central Asia,2017,2017,12.7654,Female
40505,Central Asia,2018,2018,12.85327,Female
40505,Central Asia,2019,2019,13.04537,Female
40505,Central Asia,2020,2020,12.95203,Female
40505,Central Asia,2021,2021,13.04789,Female
40505,Central Asia,2022,2022,13.07705,Female
CPV,Cabo Verde,2017,2017,12.43094,Female
CPV,Cabo Verde,2018,2018,12.16748,Female
LAO,Lao People's Democratic Republic,2017,2017,11.22845,Female
LAO,Lao People's Democratic Republic,2018,2018,10.86178,Female
LAO,Lao People's Democratic Republic,2019,2019,10.73067,Female
LAO,Lao People's Democratic Republic,2020,2020,10.36781,Female
IRN,Iran (Islamic Republic of),2017,2017,14.65385,Female
IRN,Iran (Islamic Republic of),2020,2020,14.06775,Female
CZE,Czechia,2017,2017,15.95336,Female
CZE,Czechia,2018,2018,15.60973,Female
CZE,Czechia,2019,2019,15.57077,Female
CZE,Czechia,2020,2020,15.58689,Female
CZE,Czechia,2021,2021,15.79063,Female
40535,South and West Asia,2017,2017,11.16549,Female
40535,South and West Asia,2018,2018,10.99643,Female
40535,South and West Asia,2019,2019,10.99246,Female
40535,South and West Asia,2020,2020,11.31686,Female
40535,South and West Asia,2021,2021,11.53943,Female
40535,South and West Asia,2022,2022,11.88714,Female
COL,Colombia,2017,2017,14.47853,Female
COL,Colombia,2018,2018,14.39854,Female
COL,Colombia,2019,2019,14.32801,Female
COL,Colombia,2020,2020,14.08671,Female
COL,Colombia,2021,2021,14.2067,Female
COL,Colombia,2022,2022,14.03887,Female
USA,United States of America,2017,2017,17.34075,Female
USA,United States of America,2018,2018,17.32986,Female
USA,United States of America,2019,2019,17.35239,Female
USA,United States of America,2020,2020,17.32647,Female
USA,United States of America,2021,2021,17.26275,Female
USA,United States of America,2022,2022,16.8248,Female
MOZ,Mozambique,2017,2017,9.88063,Female
BRN,Brunei Darussalam,2017,2017,14.51861,Female
BRN,Brunei Darussalam,2018,2018,14.3637,Female
BRN,Brunei Darussalam,2019,2019,14.23845,Female
BRN,Brunei Darussalam,2020,2020,14.17734,Female
ESP,Spain,2017,2017,17.06411,Female
ESP,Spain,2018,2018,17.06297,Female
ESP,Spain,2019,2019,16.99622,Female
ESP,Spain,2020,2020,16.92847,Female
ESP,Spain,2021,2021,17.20244,Female
40650,Oceania,2017,2017,16.38897,Female
40650,Oceania,2018,2018,15.66905,Female
40650,Oceania,2019,2019,16.20526,Female
40650,Oceania,2020,2020,15.87943,Female
40650,Oceania,2021,2021,15.93973,Female
40650,Oceania,2022,2022,15.8729,Female
UKR,Ukraine,2017,2017,13.90827,Female
UKR,Ukraine,2018,2018,13.86776,Female
UKR,Ukraine,2019,2019,13.95524,Female
UKR,Ukraine,2020,2020,13.77739,Female
UKR,Ukraine,2021,2021,13.54051,Female
MAC,"China, Macao Special Administrative Region",2017,2017,16.37515,Female
MAC,"China, Macao Special Administrative Region",2018,2018,15.57616,Female
MAC,"China, Macao Special Administrative Region",2019,2019,15.2303,Female
MAC,"China, Macao Special Administrative Region",2020,2020,15.15287,Female
MAC,"China, Macao Special Administrative Region",2021,2021,15.43617,Female
MAC,"China, Macao Special Administrative Region",2022,2022,16.07115,Female
GHA,Ghana,2017,2017,10.7045,Female
GHA,Ghana,2018,2018,10.72536,Female
GHA,Ghana,2019,2019,11.11997,Female
GHA,Ghana,2020,2020,11.30471,Female
GHA,Ghana,2021,2021,11.4823,Female
GHA,Ghana,2022,2022,11.31787,Female
LCA,Saint Lucia,2017,2017,12.97766,Female
LCA,Saint Lucia,2018,2018,12.93203,Female
LCA,Saint Lucia,2019,2019,12.12052,Female
LCA,Saint Lucia,2020,2020,12.09832,Female
LCA,Saint Lucia,2022,2022,12.05116,Female
MDA,Republic of Moldova,2017,2017,14.02159,Female
MDA,Republic of Moldova,2018,2018,14.11803,Female
MDA,Republic of Moldova,2019,2019,14.25891,Female
MDA,Republic of Moldova,2020,2020,14.20628,Female
MDA,Republic of Moldova,2021,2021,14.39,Female
MDA,Republic of Moldova,2022,2022,14.443,Female
40612,Central Asia,2017,2017,12.65502,Female
40612,Central Asia,2018,2018,12.73106,Female
40612,Central Asia,2019,2019,12.85795,Female
40612,Central Asia,2020,2020,12.82796,Female
40612,Central Asia,2021,2021,12.8442,Female
40612,Central Asia,2022,2022,12.89107,Female
VGB,British Virgin Islands,2021,2021,16.30032,Female
VGB,British Virgin Islands,2022,2022,13.40863,Female
CAN,Canada,2017,2017,16.51124,Female
CAN,Canada,2018,2018,16.43121,Female
CAN,Canada,2019,2019,16.43435,Female
CAN,Canada,2020,2020,16.47273,Female
CAN,Canada,2021,2021,16.53594,Female
BGD,Bangladesh,2017,2017,10.65233,Female
BGD,Bangladesh,2018,2018,11.15711,Female
BGD,Bangladesh,2020,2020,11.50172,Female
LUX,Luxembourg,2017,2017,13.98403,Female
LUX,Luxembourg,2018,2018,14.05132,Female
LUX,Luxembourg,2019,2019,14.12903,Female
LUX,Luxembourg,2020,2020,14.11478,Female
LUX,Luxembourg,2021,2021,14.08836,Female
SVN,Slovenia,2017,2017,16.75787,Female
SVN,Slovenia,2018,2018,16.72535,Female
SVN,Slovenia,2019,2019,16.56487,Female
SVN,Slovenia,2020,2020,16.49482,Female
SVN,Slovenia,2021,2021,16.58584,Female
SVN,Slovenia,2022,2022,16.66216,Female
SAU,Saudi Arabia,2017,2017,15.04058,Female
SAU,Saudi Arabia,2018,2018,15.21622,Female
SAU,Saudi Arabia,2019,2019,15.54208,Female
SAU,Saudi Arabia,2020,2020,15.38368,Female
SAU,Saudi Arabia,2021,2021,15.48644,Female
SAU,Saudi Arabia,2022,2022,16.3838,Female
GRC,Greece,2017,2017,18.85395,Female
GRC,Greece,2018,2018,19.2205,Female
GRC,Greece,2019,2019,19.76819,Female
GRC,Greece,2020,2020,19.82952,Female
GRC,Greece,2021,2021,20.19032,Female
ECU,Ecuador,2018,2018,14.4489,Female
ECU,Ecuador,2019,2019,14.16719,Female
ECU,Ecuador,2020,2020,14.44118,Female
ITA,Italy,2017,2017,15.86068,Female
ITA,Italy,2018,2018,15.98814,Female
ITA,Italy,2019,2019,16.02843,Female
ITA,Italy,2020,2020,16.09837,Female
ITA,Italy,2021,2021,16.20886,Female
BHR,Bahrain,2017,2017,16.91294,Female
BHR,Bahrain,2018,2018,16.58231,Female
BHR,Bahrain,2019,2019,16.98129,Female
BHR,Bahrain,2022,2022,17.00641,Female
LSO,Lesotho,2017,2017,10.97591,Female
THA,Thailand,2020,2020,15.70824,Female
EST,Estonia,2017,2017,16.60347,Female
EST,Estonia,2018,2018,16.55525,Female
EST,Estonia,2019,2019,16.5579,Female
EST,Estonia,2020,2020,16.61121,Female
EST,Estonia,2021,2021,16.80972,Female
EST,Estonia,2022,2022,16.85848,Female
40630,Latin America and the Caribbean,2017,2017,15.01532,Female
40630,Latin America and the Caribbean,2018,2018,15.08706,Female
40630,Latin America and the Caribbean,2019,2019,15.14667,Female
40630,Latin America and the Caribbean,2020,2020,15.229,Female
40630,Latin America and the Caribbean,2021,2021,15.33639,Female
40630,Latin America and the Caribbean,2022,2022,15.32868,Female
40618,Central and Southern Asia,2017,2017,11.4057,Female
40618,Central and Southern Asia,2018,2018,10.85202,Female
40618,Central and Southern Asia,2019,2019,10.95065,Female
40618,Central and Southern Asia,2020,2020,11.13595,Female
40618,Central and Southern Asia,2021,2021,11.30518,Female
40618,Central and Southern Asia,2022,2022,11.69901,Female
40334,Least Developed Countries,2017,2017,8.90789,Female
40334,Least Developed Countries,2018,2018,9.04105,Female
40334,Least Developed Countries,2019,2019,9.12944,Female
MDG,Madagascar,2018,2018,9.82464,Female
MDG,Madagascar,2019,2019,9.27724,Female
NOR,Norway,2017,2017,18.78519,Female
NOR,Norway,2018,2018,18.87774,Female
NOR,Norway,2019,2019,18.96408,Female
NOR,Norway,2020,2020,19.07895,Female
NOR,Norway,2021,2021,19.52136,Female
NPL,Nepal,2017,2017,12.41463,Female
NPL,Nepal,2019,2019,12.55796,Female
NPL,Nepal,2020,2020,12.46627,Female
40520,Latin America and the Caribbean,2017,2017,14.20786,Female
40520,Latin America and the Caribbean,2018,2018,14.23803,Female
40520,Latin America and the Caribbean,2019,2019,14.23359,Female
40520,Latin America and the Caribbean,2020,2020,14.21126,Female
40520,Latin America and the Caribbean,2021,2021,14.14921,Female
40520,Latin America and the Caribbean,2022,2022,14.14979,Female
HKG,"China, Hong Kong Special Administrative Region",2017,2017,16.55104,Female
HKG,"China, Hong Kong Special Administrative Region",2018,2018,16.84246,Female
HKG,"China, Hong Kong Special Administrative Region",2019,2019,16.93955,Female
HKG,"China, Hong Kong Special Administrative Region",2020,2020,17.12826,Female
HKG,"China, Hong Kong Special Administrative Region",2021,2021,17.56233,Female
HKG,"China, Hong Kong Special Administrative Region",2022,2022,17.33457,Female
BEN,Benin,2020,2020,9.46247,Female
BEN,Benin,2021,2021,9.60493,Female
FRA,France,2017,2017,15.39769,Female
FRA,France,2018,2018,15.49095,Female
FRA,France,2019,2019,15.50574,Female
FRA,France,2020,2020,15.54038,Female
FRA,France,2021,2021,15.58458,Female
FRA,France,2022,2022,15.61709,Female
AFG,Afghanistan,2018,2018,12.96442,Female
40525,Arab States,2017,2017,11.32022,Female
40525,Arab States,2018,2018,11.49056,Female
40525,Arab States,2019,2019,11.63272,Female
40525,Arab States,2020,2020,11.70201,Female
40525,Arab States,2021,2021,11.76952,Female
CHE,Switzerland,2017,2017,16.15349,Female
CHE,Switzerland,2018,2018,16.24296,Female
CHE,Switzerland,2019,2019,16.34182,Female
CHE,Switzerland,2020,2020,16.46333,Female
CHE,Switzerland,2021,2021,16.67786,Female
CHE,Switzerland,2022,2022,16.79875,Female
PHL,Philippines,2017,2017,12.44195,Female
PHL,Philippines,2018,2018,12.43434,Female
PHL,Philippines,2019,2019,12.64123,Female
PHL,Philippines,2020,2020,12.37481,Female
GTM,Guatemala,2019,2019,10.6469,Female
PAK,Pakistan,2017,2017,7.65513,Female
PAK,Pakistan,2018,2018,7.95126,Female
PAK,Pakistan,2019,2019,8.17716,Female
HRV,Croatia,2017,2017,14.70589,Female
HRV,Croatia,2018,2018,14.73092,Female
HRV,Croatia,2019,2019,14.66767,Female
HRV,Croatia,2020,2020,14.66011,Female
HRV,Croatia,2021,2021,14.72341,Female
BDI,Burundi,2017,2017,10.4845,Female
BDI,Burundi,2018,2018,10.34485,Female
40043,Upper middle income countries,2017,2017,14.46576,Female
40043,Upper middle income countries,2018,2018,14.59896,Female
40043,Upper middle income countries,2019,2019,14.77861,Female
40043,Upper middle income countries,2020,2020,14.95696,Female
40043,Upper middle income countries,2021,2021,15.15823,Female
40043,Upper middle income countries,2022,2022,15.2822,Female
MNG,Mongolia,2019,2019,15.28515,Female
TON,Tonga,2020,2020,15.22015,Female
PER,Peru,2017,2017,14.51192,Female
KGZ,Kyrgyzstan,2017,2017,12.58061,Female
KGZ,Kyrgyzstan,2018,2018,12.56332,Female
KGZ,Kyrgyzstan,2019,2019,12.57027,Female
KGZ,Kyrgyzstan,2020,2020,12.75383,Female
KGZ,Kyrgyzstan,2021,2021,13.15699,Female
40642,Europe and Northern America,2017,2017,15.82997,Female
40642,Europe and Northern America,2018,2018,15.89151,Female
40642,Europe and Northern America,2019,2019,15.88292,Female
40642,Europe and Northern America,2020,2020,15.88723,Female
40642,Europe and Northern America,2021,2021,15.81995,Female
40642,Europe and Northern America,2022,2022,15.85483,Female
OMN,Oman,2017,2017,14.92529,Female
OMN,Oman,2018,2018,14.86847,Female
OMN,Oman,2019,2019,14.64418,Female
OMN,Oman,2020,2020,13.87254,Female
OMN,Oman,2021,2021,13.46503,Female
40617,Northern Africa and Western Asia,2017,2017,12.25902,Female
40617,Northern Africa and Western Asia,2018,2018,12.45936,Female
40617,Northern Africa and Western Asia,2019,2019,12.60146,Female
40617,Northern Africa and Western Asia,2020,2020,12.71099,Female
40617,Northern Africa and Western Asia,2021,2021,12.8232,Female
MDV,Maldives,2019,2019,11.26266,Female
AZE,Azerbaijan,2018,2018,13.2161,Female
AZE,Azerbaijan,2019,2019,13.3343,Female
AZE,Azerbaijan,2020,2020,12.54786,Female
AZE,Azerbaijan,2021,2021,12.62805,Female
AZE,Azerbaijan,2022,2022,12.74398,Female
AUS,Australia,2017,2017,22.39792,Female
AUS,Australia,2018,2018,21.00313,Female
AUS,Australia,2019,2019,22.01021,Female
AUS,Australia,2020,2020,21.73602,Female
AUS,Australia,2021,2021,21.98143,Female
AUS,Australia,2022,2022,21.48183,Female
UZB,Uzbekistan,2017,2017,11.79387,Female
UZB,Uzbekistan,2018,2018,12.00045,Female
UZB,Uzbekistan,2019,2019,12.28444,Female
UZB,Uzbekistan,2020,2020,12.0064,Female
UZB,Uzbekistan,2021,2021,12.02127,Female
40510,World,2017,2017,12.23558,Female
40510,World,2018,2018,12.16072,Female
40510,World,2019,2019,12.25032,Female
40510,World,2020,2020,12.39123,Female
40510,World,2021,2021,12.48,Female
40510,World,2022,2022,12.61754,Female
RUS,Russian Federation,2017,2017,15.09939,Female
RUS,Russian Federation,2018,2018,15.73216,Female
RUS,Russian Federation,2019,2019,15.73413,Female
RUS,Russian Federation,2020,2020,13.60529,Female
RUS,Russian Federation,2021,2021,13.5027,Female
RUS,Russian Federation,2022,2022,13.41428,Female
TUR,Türkiye,2017,2017,19.20394,Female
TUR,Türkiye,2018,2018,19.3805,Female
TUR,Türkiye,2019,2019,19.53996,Female
TUR,Türkiye,2020,2020,19.51246,Female
TUR,Türkiye,2021,2021,19.80444,Female
FIN,Finland,2017,2017,20.21212,Female
FIN,Finland,2018,2018,20.31839,Female
FIN,Finland,2019,2019,19.8794,Female
FIN,Finland,2020,2020,19.9711,Female
FIN,Finland,2021,2021,20.25945,Female
FIN,Finland,2022,2022,20.65835,Female
SYC,Seychelles,2017,2017,12.30264,Female
SYC,Seychelles,2018,2018,12.45769,Female
SYC,Seychelles,2019,2019,12.30957,Female
SYC,Seychelles,2020,2020,12.31721,Female
SYC,Seychelles,2021,2021,12.42627,Female
SYC,Seychelles,2022,2022,12.6085,Female
40611,Eastern Asia,2017,2017,13.58757,Female
40611,Eastern Asia,2018,2018,13.72707,Female
40611,Eastern Asia,2019,2019,13.90701,Female
40611,Eastern Asia,2020,2020,14.24687,Female
40611,Eastern Asia,2021,2021,14.56986,Female
40611,Eastern Asia,2022,2022,14.828,Female
DOM,Dominican Republic,2017,2017,15.55697,Female
DOM,Dominican Republic,2020,2020,15.36625,Female
DOM,Dominican Republic,2021,2021,14.78892,Female
BGD,Bangladesh,2017,2017,11.19708,Female
BGD,Bangladesh,2018,2018,11.65119,Female
BGD,Bangladesh,2020,2020,12.40667,Female
40606,Sub-Saharan Africa,2017,2017,9.65678,Female
IDN,Indonesia,2017,2017,13.80362,Female
IDN,Indonesia,2018,2018,13.86205,Female
MAR,Morocco,2017,2017,13.77802,Female
MAR,Morocco,2018,2018,13.90754,Female
MAR,Morocco,2019,2019,14.07904,Female
MAR,Morocco,2020,2020,14.21162,Female
MAR,Morocco,2021,2021,14.1926,Female
MAR,Morocco,2022,2022,14.68884,Female
URY,Uruguay,2021,2021,15.94714,Female
40530,Central and Eastern Europe,2017,2017,15.73854,Female
40530,Central and Eastern Europe,2018,2018,16.01401,Female
40530,Central and Eastern Europe,2019,2019,16.06697,Female
40530,Central and Eastern Europe,2020,2020,16.1078,Female
40530,Central and Eastern Europe,2021,2021,16.14791,Female
40530,Central and Eastern Europe,2022,2022,16.15014,Female
MYS,Malaysia,2017,2017,13.62692,Female
MYS,Malaysia,2018,2018,13.61396,Female
MYS,Malaysia,2019,2019,13.58307,Female
MYS,Malaysia,2020,2020,13.44345,Female
MYS,Malaysia,2021,2021,13.39497,Female
ARM,Armenia,2018,2018,13.58549,Female
ARM,Armenia,2019,2019,13.7418,Female
ARM,Armenia,2020,2020,13.76199,Female
ARM,Armenia,2021,2021,14.13381,Female
ARM,Armenia,2022,2022,14.02234,Female
40520,Latin America and the Caribbean,2017,2017,15.01531,Female
40520,Latin America and the Caribbean,2018,2018,15.08705,Female
40520,Latin America and the Caribbean,2019,2019,15.14665,Female
40520,Latin America and the Caribbean,2020,2020,15.22899,Female
40520,Latin America and the Caribbean,2021,2021,15.33638,Female
40520,Latin America and the Caribbean,2022,2022,15.32866,Female
POL,Poland,2017,2017,16.86481,Female
POL,Poland,2018,2018,16.73478,Female
POL,Poland,2019,2019,16.66987,Female
POL,Poland,2020,2020,16.59943,Female
POL,Poland,2021,2021,16.70746,Female
POL,Poland,2022,2022,17.04921,Female
DEU,Germany,2017,2017,16.98592,Female
DEU,Germany,2018,2018,17.05264,Female
DEU,Germany,2019,2019,17.26806,Female
DEU,Germany,2020,2020,17.22988,Female
DEU,Germany,2021,2021,17.31983,Female
MRT,Mauritania,2017,2017,7.9925,Female
MRT,Mauritania,2018,2018,8.46513,Female
MRT,Mauritania,2019,2019,8.76499,Female
MRT,Mauritania,2020,2020,8.16034,Female
EGY,Egypt,2017,2017,12.2233,Female
EGY,Egypt,2018,2018,12.47455,Female
EGY,Egypt,2020,2020,13.02345,Female
CHL,Chile,2017,2017,16.30686,Female
CHL,Chile,2018,2018,16.35615,Female
CHL,Chile,2019,2019,16.40881,Female
CHL,Chile,2020,2020,16.10942,Female
CHL,Chile,2021,2021,16.46308,Female
CHL,Chile,2022,2022,16.64814,Female
TUR,Türkiye,2017,2017,18.12502,Female
TUR,Türkiye,2018,2018,18.55944,Female
TUR,Türkiye,2019,2019,18.82059,Female
TUR,Türkiye,2020,2020,19.07266,Female
TUR,Türkiye,2021,2021,19.56439,Female
40500,North America and Western Europe,2017,2017,16.31402,Female
40500,North America and Western Europe,2018,2018,16.29066,Female
40500,North America and Western Europe,2019,2019,16.27867,Female
40500,North America and Western Europe,2020,2020,16.27545,Female
40500,North America and Western Europe,2021,2021,16.20212,Female
40500,North America and Western Europe,2022,2022,16.2454,Female
SRB,Serbia,2017,2017,15.48224,Female
SRB,Serbia,2018,2018,15.49904,Female
SRB,Serbia,2019,2019,15.43495,Female
SRB,Serbia,2020,2020,15.21388,Female
SRB,Serbia,2021,2021,15.27253,Female
SRB,Serbia,2022,2022,14.62045,Female
SMR,San Marino,2018,2018,12.27448,Female
SMR,San Marino,2019,2019,12.43733,Female
SMR,San Marino,2020,2020,13.01398,Female
SMR,San Marino,2021,2021,12.83869,Female
SMR,San Marino,2022,2022,12.88761,Female
SGP,Singapore,2017,2017,16.87475,Female
SGP,Singapore,2018,2018,16.9332,Female
SGP,Singapore,2019,2019,16.91782,Female
SGP,Singapore,2020,2020,16.92181,Female
SGP,Singapore,2021,2021,17.03402,Female
LAO,Lao People's Democratic Republic,2017,2017,10.66856,Female
LAO,Lao People's Democratic Republic,2018,2018,10.3981,Female
LAO,Lao People's Democratic Republic,2019,2019,10.27553,Female
LAO,Lao People's Democratic Republic,2020,2020,10.00139,Female
BRA,Brazil,2017,2017,15.79373,Female
BRA,Brazil,2018,2018,15.91962,Female
BRA,Brazil,2019,2019,15.91731,Female
BRA,Brazil,2020,2020,15.9354,Female
BRA,Brazil,2021,2021,16.22304,Female
40041,High income countries,2017,2017,16.93869,Female
40041,High income countries,2018,2018,16.91715,Female
40041,High income countries,2019,2019,16.98348,Female
